event_id,customer_id,product_id,event_type,event_date,device_type,session_id,created_at
1,1,923,cart_remove,2024-09-30,mobile,session_26613,2024-09-30
2,1,210,purchase,2024-09-27,mobile,session_82757,2024-09-27
3,1,213,cart_add,2024-10-16,tablet,session_11868,2024-10-16
4,1,660,cart_add,2024-05-24,tablet,session_60440,2024-05-24
5,1,613,wishlist_add,2024-08-09,desktop,session_64270,2024-08-09
6,1,428,view,2024-03-21,tablet,session_11068,2024-03-21
7,1,58,search,2024-09-01,tablet,session_13371,2024-09-01
8,1,419,search,2024-04-29,tablet,session_77037,2024-04-29
9,1,950,view,2024-03-05,tablet,session_42431,2024-03-05
10,1,559,view,2024-02-28,mobile,session_35574,2024-02-28
11,1,634,search,2024-10-18,desktop,session_81585,2024-10-18
12,1,273,search,2024-09-18,tablet,session_72791,2024-09-18
13,1,768,cart_add,2025-01-15,tablet,session_95936,2025-01-15
14,1,616,cart_add,2025-01-14,desktop,session_34986,2025-01-14
15,1,597,wishlist_add,2024-03-04,desktop,session_18049,2024-03-04
16,1,664,view,2024-12-01,mobile,session_84855,2024-12-01
17,1,604,cart_add,2024-05-25,desktop,session_87374,2024-05-25
18,1,68,wishlist_add,2024-10-24,tablet,session_61326,2024-10-24
19,2,203,view,2024-08-27,mobile,session_45273,2024-08-27
20,2,344,cart_remove,2024-08-02,tablet,session_18881,2024-08-02
21,2,418,search,2024-12-11,desktop,session_68371,2024-12-11
22,2,854,purchase,2024-07-16,desktop,session_69551,2024-07-16
23,2,55,cart_add,2025-01-19,tablet,session_96920,2025-01-19
24,2,858,purchase,2024-08-27,tablet,session_50403,2024-08-27
25,2,794,purchase,2024-08-24,tablet,session_63595,2024-08-24
26,2,78,cart_remove,2024-09-09,tablet,session_41157,2024-09-09
27,2,782,search,2024-10-02,desktop,session_61176,2024-10-02
28,2,799,search,2024-09-05,tablet,session_93465,2024-09-05
29,2,484,wishlist_add,2024-12-01,tablet,session_95853,2024-12-01
30,2,908,search,2024-09-22,mobile,session_56025,2024-09-22
31,2,521,view,2024-12-18,desktop,session_89872,2024-12-18
32,2,119,purchase,2024-08-21,desktop,session_41425,2024-08-21
33,2,881,cart_remove,2024-10-16,tablet,session_76080,2024-10-16
34,2,843,wishlist_add,2024-10-13,desktop,session_77562,2024-10-13
35,2,461,cart_add,2024-12-29,mobile,session_62429,2024-12-29
36,2,640,cart_add,2024-12-30,tablet,session_77585,2024-12-30
37,2,724,view,2024-12-18,mobile,session_20701,2024-12-18
38,2,945,search,2025-01-01,desktop,session_55894,2025-01-01
39,2,134,search,2024-10-06,mobile,session_57930,2024-10-06
40,2,486,view,2024-09-07,tablet,session_93393,2024-09-07
41,2,473,search,2024-08-23,mobile,session_21310,2024-08-23
42,2,454,purchase,2024-09-23,tablet,session_88833,2024-09-23
43,3,998,purchase,2024-08-31,tablet,session_49014,2024-08-31
44,3,690,wishlist_add,2024-09-02,mobile,session_84226,2024-09-02
45,3,540,purchase,2024-11-08,tablet,session_30555,2024-11-08
46,3,554,view,2025-01-30,desktop,session_70843,2025-01-30
47,3,275,search,2025-01-16,tablet,session_99421,2025-01-16
48,3,690,cart_remove,2024-09-10,mobile,session_44505,2024-09-10
