product_id,category_id,subcategory_id,product_name,description,base_price,sale_price,stock_quantity,weight_kg,is_active,created_at,brand,sku,rating,review_count
1,1,101,Ford-Solis Wear,"There talk series study politics into six. Gun much rise social news class movie. Suddenly day role peace southern business ready.
Word step raise worker. Why make wear anyone seem company.",744.13,631.75,142,14.76,True,2023-01-29,"Sanchez, Smith and Lewis",SKU-81482,3.2,449
2,1,101,Lloyd-Taylor Staff,Suffer individual film well professional of avoid. Special woman former morning bad again. Professor truth executive manager key guess. Operation human understand particularly a.,102.76,86.99,616,0.63,True,2023-01-21,"Nunez, King and Mccoy",SKU-81426,3.8,465
3,5,503,Phillips-Simpson Offer,"Look PM media one. Blood million message commercial receive message. Front fear fire. Administration wait have beat author military.
From process entire central. Want stay final new memory.",811.34,650.12,825,3.28,True,2023-01-09,Gray Inc,SKU-30379,3.4,795
4,3,301,Hansen and Sons Admit,Ahead radio church stay respond fund growth. Measure student author enjoy better.,101.82,83.42,867,6.94,True,2023-01-02,Williams PLC,SKU-70217,4.1,1016
5,4,401,Henry-Roberts Firm,"Require less small stuff result.
Democratic factor general despite approach adult quite. Foot dark event might. Actually purpose claim black interest when her seek.",556.52,537.53,633,17.72,True,2023-01-07,"Cohen, Schmidt and Reed",SKU-19116,3.1,245
6,3,301,"Martinez, Lucas and Cross Fight","Record rock show social. Network it unit same maybe left throw. Attention seem long oil.
Win young contain receive address box floor success. Standard outside travel win place security boy red.",856.76,833.89,389,5.63,True,2023-01-12,Perez PLC,SKU-31319,3.7,234
7,3,301,Marshall PLC Present,Together even later maybe top a natural. Hand east watch each operation. Democrat college ability seek other those up.,613.04,511.41,746,4.97,True,2023-01-09,Harrington PLC,SKU-93886,4.4,243
8,3,301,Simmons and Sons Kind,With eat truth threat. Benefit show concern during military low. Church company her plant fight maintain.,236.76,190.93,323,8.08,False,2023-01-30,"Smith, Owen and Owens",SKU-84341,4.8,342
9,2,204,Evans LLC Full,Lawyer idea environmental. Fight participant kitchen change by defense option.,401.68,394.81,469,2.94,True,2023-01-24,Todd Ltd,SKU-83579,4.1,784
10,5,504,Turner-Klein Real,"Especially skill nearly sometimes score surface together offer. Standard item such open term.
Director likely enter save. American option carry anyone minute.",898.84,790.88,224,19.95,True,2023-01-16,"Russell, Harris and Griffin",SKU-21915,4.5,897
11,1,102,Bentley-Martinez Simple,"Choose air way realize leg. Difficult issue conference prepare thank method. Week wrong its however fine rather.
Live hope people worker well ever. Election eight issue.",631.17,604.92,432,11.97,True,2023-01-20,"Gomez, Bowers and Rodriguez",SKU-71348,4.1,1011
12,5,501,Garcia-Steele Practice,"Get glass give way discussion almost company. Activity across without at.
Building quickly reflect senior. Stock similar population us. Foot quite return ok actually.",683.48,562.44,906,10.79,True,2023-01-21,"Obrien, Miller and White",SKU-54587,3.2,458
13,2,204,Young Inc Face,Stock level face simply. Cut rise just space she. Anything line yes call approach.,13.21,12.48,736,5.34,True,2023-01-06,"Trujillo, Adams and Romero",SKU-76542,4.8,911
14,3,305,Hunter-Wiley Condition,Something religious girl green then receive. Strong old evening north true. Worry prevent operation western structure yes husband. Weight scene hundred history maintain sing should bad.,612.88,509.04,780,3.31,True,2023-01-30,Combs-Sanchez,SKU-79514,4.8,628
15,3,304,Mcdonald-Nelson Appear,"Surface key into responsibility free turn would. This hand fight safe to ago. Season newspaper name relate people.
Enough task environmental sport point history sing. Wrong start possible thousand.",29.28,28.87,899,19.71,True,2023-01-08,"Peterson, Turner and King",SKU-17592,3.5,589
16,1,101,"Arias, Whitaker and Allen Situation","Animal owner finally dinner. Camera marriage contain age.
Possible another condition instead. Candidate south impact oil control rest.",734.59,707.56,778,10.7,True,2023-01-22,Cochran LLC,SKU-72296,4.9,191
17,3,305,"Williams, Hampton and Lopez Mean","Fly still end member ask ask create. Market summer item crime actually.
Sell employee attorney ever street. Toward magazine forward citizen.
Seven food five law. Tv stay meet suggest.",873.71,772.91,216,18.59,True,2023-01-23,"White, Woodward and Holmes",SKU-36365,4.4,430
18,3,304,"King, Brandt and Pena Feeling","Person between political western.
Economic beyond sea such. Someone idea economy themselves right beautiful. Care always real international participant executive.",900.62,801.82,253,4.57,True,2023-01-19,Guerrero-Norris,SKU-82603,3.5,243
