review_id,product_id,order_id,customer_id,review_score,review_text,review_date,helpful_votes,verified_purchase,created_at
1,573,2,1,4,Excellent quality Marshall Group Premium Laptop Series 2. battery life is impressive.,2024-09-04,3,True,2024-09-04
2,785,2,1,4,Excellent quality Harrison-Rogers  SE Laptop. battery life is impressive.,2024-08-15,3,True,2024-08-15
3,561,2,1,4,Really happy with this purchase. gentle on skin and gentle on skin.,2024-08-20,0,True,2024-08-20
4,844,2,1,4,Excellent quality Norris and Sons Elite Leather Hoodie. comfortable to wear.,2024-08-16,2,True,2024-08-16
5,444,2,1,4,Best Ford Group Elite Desk Ceramic I've bought. looks elegant.,2024-08-17,0,True,2024-08-17
6,654,3,1,4,"Excellent quality Carter, Jones and Hall Premium Sleeping Bag Elite. comfortable during workouts.",2023-06-15,3,True,2023-06-15
7,563,3,1,4,Excellent quality Baker and Sons Pro Weights Flex. comfortable during workouts.,2023-06-16,2,True,2023-06-16
8,387,3,1,5,Great Jones PLC Elite Backpack Elite! comfortable during workouts. Highly recommend!,2023-06-17,0,True,2023-06-17
9,230,3,1,2,Not worth the price. falls apart easily.,2023-07-05,2,True,2023-07-05
10,268,4,2,4,Really happy with this purchase. fits perfectly and comfortable to wear.,2024-10-05,1,True,2024-10-05
11,683,4,2,1,Had issues with color faded after washing.,2024-09-30,2,True,2024-09-30
12,707,4,2,5,comfortable to wear. Worth every penny!,2024-10-02,5,True,2024-10-02
13,701,6,2,3,"Perfect fit, however poor grip.",2024-12-21,1,True,2024-12-21
14,890,6,2,1,"Disappointed with this Mcgee, Washington and White Pro Leggings Flex. uncomfortable during exercise.",2024-12-17,3,True,2024-12-17
15,774,6,2,4,Really happy with this purchase. excellent grip and comfortable during workouts.,2024-12-16,3,True,2024-12-16
16,170,7,2,5,"Excellent quality Lee, Harding and Campbell Pro Pan Home. high-quality materials.",2025-01-12,3,True,2025-01-12
17,205,7,2,3,Average Brown-Butler Elite Cleanser with Collagen. Fair for the price.,2025-01-20,1,True,2025-01-20
18,825,7,2,3,"Decent King PLC  Loafers in Navy. Easy to use, but uncomfortable to wear.",2025-01-09,3,True,2025-01-09
19,337,7,2,4,"Great Meza, Parker and Mcintosh Elite Eyeshadow with Aloe Vera! noticeable results. Highly recommend!",2025-01-08,2,True,2025-01-08
20,996,9,3,4,perfect size. Worth every penny!,2025-01-28,1,True,2025-01-28
21,164,9,3,4,Really happy with this purchase. great texture and great texture.,2025-01-16,1,True,2025-01-16
22,771,9,3,5,very durable. Worth every penny!,2025-01-15,2,True,2025-01-15
23,963,11,3,3,"Not bad, but not great. Meets basic expectations.",2024-12-17,1,True,2024-12-17
24,586,11,3,5,Really happy with this purchase. perfect size and great value.,2024-12-15,2,True,2024-12-15
25,687,11,3,5,performance is lightning fast. Worth every penny!,2024-12-17,3,True,2024-12-17
26,158,13,4,4,"Best Briggs, Dorsey and Johnson Premium Training Shoes Pro I've bought. lightweight.",2024-08-14,2,True,2024-08-14
27,637,13,4,4,Best Castillo and Sons Elite Water Bottle Pro I've bought. durable construction.,2024-08-15,2,True,2024-08-15
28,412,13,4,5,"Best Jones, Ingram and Jimenez Pro Training Water Bottle I've bought. durable construction.",2024-08-16,2,True,2024-08-16
29,313,13,4,4,"Excellent quality Montes, Lozano and James Premium Water Bottle Air. excellent grip.",2024-08-14,1,True,2024-08-14
30,699,14,4,4,Excellent quality Warner Ltd  Camping Stove Pro. comfortable during workouts.,2024-09-29,1,True,2024-09-29
31,882,14,4,4,looks elegant. Worth every penny!,2024-09-30,1,True,2024-09-30
32,120,15,4,5,"Excellent quality Decker, Smith and Sanchez Elite Dress in Navy. material is high quality.",2025-01-24,1,True,2025-01-24
33,67,15,4,5,Great Cline-Willis Pro Shorts Pro! versatile use. Highly recommend!,2025-01-25,5,True,2025-01-25
34,573,15,4,5,build quality is premium. Worth every penny!,2025-01-26,4,True,2025-01-26
35,956,15,4,4,Excellent quality Rosario-Bell Premium Blanket Ceramic. looks elegant.,2025-01-23,1,True,2025-01-23
36,205,16,4,3,Average Brown-Butler Elite Cleanser with Collagen. Average performance.,2024-10-22,0,True,2024-10-22
37,272,16,4,3,"Not bad, but not great. Could be better.",2024-10-26,0,True,2024-10-26
38,808,16,4,5,Great Simon Group Elite Blush Sensitive! great texture. Highly recommend!,2024-10-24,2,True,2024-10-24
39,115,17,4,3,"Decent Moore-Roberts Premium Toner Sensitive. Superior performance, but no visible results.",2024-08-10,0,True,2024-08-10
40,218,17,4,4,Best Martinez PLC Pro Fitness Tracker Series 7 I've bought. features are well-thought-out.,2024-08-12,2,True,2024-08-12
41,649,17,4,5,Best Lawrence Ltd  Minimalist Knife Set I've bought. perfect size.,2024-08-10,4,True,2024-08-10
42,643,18,4,5,Excellent quality Murphy-Wright Premium Pro Stand. build quality is premium.,2024-08-12,2,True,2024-08-12
43,362,18,4,2,Not worth the price. interface is confusing.,2024-08-11,2,True,2024-08-11
44,235,18,4,4,build quality is premium. Worth every penny!,2024-08-12,1,True,2024-08-12
45,348,19,4,2,Had issues with too heavy.,2024-08-17,1,True,2024-08-17
46,173,20,4,4,Great Cline-Willis Pro Linen Boots! comfortable to wear. Highly recommend!,2024-12-02,1,True,2024-12-02
47,4,20,4,5,"Great Ochoa, Santiago and Johnson Pro Sport Watch (Lite)! interface is intuitive. Highly recommend!",2024-12-04,1,True,2024-12-04
48,854,20,4,3,"Complicated to use, however no visible results.",2024-12-05,1,True,2024-12-05
49,905,21,4,2,Disappointed with this Scott-Fitzgerald Elite Cleanser with Hyaluronic Acid. texture is unpleasant.,2025-01-02,0,True,2025-01-02
50,420,21,4,4,pleasant fragrance. Worth every penny!,2024-12-29,3,True,2024-12-29
51,122,21,4,4,gentle on skin. Worth every penny!,2025-01-01,4,True,2025-01-01
52,848,23,6,1,Wouldn't recommend. texture is unpleasant.,2023-12-26,2,True,2023-12-26
53,495,23,6,4,setup was straightforward. Worth every penny!,2023-12-31,4,True,2023-12-31
54,38,23,6,4,Excellent quality Colon PLC Elite Purifying Styling Cream. pleasant fragrance.,2023-12-27,2,True,2023-12-27
55,566,25,6,5,"Excellent quality Harris, Webb and Young Premium Shelf Glass. easy to assemble.",2024-07-02,3,True,2024-07-02
