event_id,customer_id,product_id,event_type,event_date,device_type,session_id,created_at
1000001,1000001,1000029,search,2025-02-22 19:56:14.535012,desktop,session_75652,2025-02-22 19:56:14.535012
1000002,1000001,1000036,view,2025-02-22 19:59:14.535012,desktop,session_75652,2025-02-22 19:59:14.535012
1000003,1000001,1000047,view,2025-02-22 20:01:14.535012,desktop,session_75652,2025-02-22 20:01:14.535012
1000004,1000001,1000009,view,2025-02-18 20:37:14.535012,desktop,session_22193,2025-02-18 20:37:14.535012
1000005,1000001,1000031,view,2025-02-18 20:39:14.535012,desktop,session_22193,2025-02-18 20:39:14.535012
1000006,1000001,1000008,cart_add,2025-02-18 20:41:14.535012,desktop,session_22193,2025-02-18 20:41:14.535012
1000007,1000001,1000017,view,2025-02-18 20:45:14.535012,desktop,session_22193,2025-02-18 20:45:14.535012
1000008,1000001,1000033,search,2025-02-17 08:27:14.535012,mobile,session_56747,2025-02-17 08:27:14.535012
1000009,1000001,1000002,view,2025-02-17 08:28:14.535012,mobile,session_56747,2025-02-17 08:28:14.535012
1000010,1000001,1000018,view,2025-02-17 08:30:14.535012,mobile,session_56747,2025-02-17 08:30:14.535012
1000011,1000001,1000044,view,2025-02-17 08:31:14.535012,mobile,session_56747,2025-02-17 08:31:14.535012
1000012,1000001,1000023,search,2025-02-19 01:32:14.535012,mobile,session_74041,2025-02-19 01:32:14.535012
1000013,1000001,1000049,view,2025-02-19 01:35:14.535012,mobile,session_74041,2025-02-19 01:35:14.535012
1000014,1000001,1000048,view,2025-02-19 01:37:14.535012,mobile,session_74041,2025-02-19 01:37:14.535012
1000015,1000001,1000034,view,2025-02-19 01:38:14.535012,mobile,session_74041,2025-02-19 01:38:14.535012
1000016,1000001,1000002,view,2025-02-19 01:40:14.535012,mobile,session_74041,2025-02-19 01:40:14.535012
1000017,1000001,1000028,search,2025-02-20 10:06:14.535012,mobile,session_83528,2025-02-20 10:06:14.535012
1000018,1000001,1000030,cart_add,2025-02-20 10:08:14.535012,mobile,session_83528,2025-02-20 10:08:14.535012
1000019,1000001,1000030,search,2025-02-20 10:12:14.535012,mobile,session_83528,2025-02-20 10:12:14.535012
1000020,1000001,1000040,view,2025-02-20 10:14:14.535012,mobile,session_83528,2025-02-20 10:14:14.535012
1000021,1000001,1000030,view,2025-02-20 10:17:14.535012,mobile,session_83528,2025-02-20 10:17:14.535012
1000022,1000001,1000047,view,2025-02-20 10:18:14.535012,mobile,session_83528,2025-02-20 10:18:14.535012
1000023,1000001,1000049,view,2025-02-20 10:19:14.535012,mobile,session_83528,2025-02-20 10:19:14.535012
1000024,1000001,1000017,view,2025-02-20 10:20:14.535012,mobile,session_83528,2025-02-20 10:20:14.535012
1000025,1000001,1000022,search,2025-02-20 10:23:14.535012,mobile,session_83528,2025-02-20 10:23:14.535012
1000026,1000001,1000031,search,2025-02-21 12:18:14.535012,desktop,session_70256,2025-02-21 12:18:14.535012
1000027,1000001,1000010,view,2025-02-21 12:20:14.535012,desktop,session_70256,2025-02-21 12:20:14.535012
1000028,1000001,1000039,view,2025-02-21 12:23:14.535012,desktop,session_70256,2025-02-21 12:23:14.535012
1000029,1000001,1000041,view,2025-02-21 12:25:14.535012,desktop,session_70256,2025-02-21 12:25:14.535012
1000030,1000001,1000042,view,2025-02-21 12:26:14.535012,desktop,session_70256,2025-02-21 12:26:14.535012
1000031,1000001,1000002,cart_add,2025-02-21 12:29:14.535012,desktop,session_70256,2025-02-21 12:29:14.535012
1000032,1000001,1000045,view,2025-02-16 12:37:14.535012,desktop,session_38048,2025-02-16 12:37:14.535012
1000033,1000001,1000017,view,2025-02-16 12:39:14.535012,desktop,session_38048,2025-02-16 12:39:14.535012
1000034,1000001,1000004,cart_add,2025-02-16 12:42:14.535012,desktop,session_38048,2025-02-16 12:42:14.535012
1000035,1000001,1000004,cart_remove,2025-02-16 12:47:14.535012,desktop,session_38048,2025-02-16 12:47:14.535012
1000036,1000001,1000038,view,2025-02-16 12:50:14.535012,desktop,session_38048,2025-02-16 12:50:14.535012
1000037,1000001,1000015,view,2025-02-20 08:58:14.535012,desktop,session_77851,2025-02-20 08:58:14.535012
1000038,1000001,1000011,cart_add,2025-02-20 08:59:14.535012,desktop,session_77851,2025-02-20 08:59:14.535012
1000039,1000001,1000018,search,2025-02-20 09:01:14.535012,desktop,session_77851,2025-02-20 09:01:14.535012
1000040,1000001,1000015,view,2025-02-20 09:04:14.535012,desktop,session_77851,2025-02-20 09:04:14.535012
1000041,1000001,1000050,search,2025-02-20 09:07:14.535012,desktop,session_77851,2025-02-20 09:07:14.535012
1000042,1000001,1000050,search,2025-02-23 17:07:14.535012,mobile,session_56625,2025-02-23 17:07:14.535012
1000043,1000001,1000027,view,2025-02-23 17:09:14.535012,mobile,session_56625,2025-02-23 17:09:14.535012
1000044,1000001,1000012,cart_add,2025-02-23 17:10:14.535012,mobile,session_56625,2025-02-23 17:10:14.535012
1000045,1000001,1000034,view,2025-02-23 17:14:14.535012,mobile,session_56625,2025-02-23 17:14:14.535012
1000046,1000001,1000015,view,2025-02-23 17:17:14.535012,mobile,session_56625,2025-02-23 17:17:14.535012
1000047,1000001,1000049,view,2025-02-23 17:19:14.535012,mobile,session_56625,2025-02-23 17:19:14.535012
1000048,1000001,1000029,view,2025-02-23 17:21:14.535012,mobile,session_56625,2025-02-23 17:21:14.535012
1000049,1000001,1000009,cart_add,2025-02-23 17:23:14.535012,mobile,session_56625,2025-02-23 17:23:14.535012
1000050,1000001,1000022,view,2025-02-21 14:56:14.535012,mobile,session_58893,2025-02-21 14:56:14.535012
1000051,1000001,1000022,view,2025-02-21 14:58:14.535012,mobile,session_58893,2025-02-21 14:58:14.535012
1000052,1000001,1000004,view,2025-02-21 14:59:14.535012,mobile,session_58893,2025-02-21 14:59:14.535012
1000053,1000001,1000023,search,2025-02-21 15:00:14.535012,mobile,session_58893,2025-02-21 15:00:14.535012
1000054,1000001,1000043,view,2025-02-21 15:01:14.535012,mobile,session_58893,2025-02-21 15:01:14.535012
1000055,1000002,1000035,view,2025-02-21 20:02:14.535012,mobile,session_88934,2025-02-21 20:02:14.535012
1000056,1000002,1000033,view,2025-02-21 20:05:14.535012,mobile,session_88934,2025-02-21 20:05:14.535012
1000057,1000002,1000040,view,2025-02-21 20:08:14.535012,mobile,session_88934,2025-02-21 20:08:14.535012
1000058,1000002,1000035,view,2025-02-21 20:09:14.535012,mobile,session_88934,2025-02-21 20:09:14.535012
1000059,1000002,1000011,search,2025-02-20 06:59:14.535012,mobile,session_10230,2025-02-20 06:59:14.535012
1000060,1000002,1000023,view,2025-02-20 07:02:14.535012,mobile,session_10230,2025-02-20 07:02:14.535012
1000061,1000002,1000026,view,2025-02-20 07:04:14.535012,mobile,session_10230,2025-02-20 07:04:14.535012
1000062,1000002,1000011,view,2025-02-23 08:24:14.535012,desktop,session_33789,2025-02-23 08:24:14.535012
1000063,1000002,1000023,view,2025-02-23 08:26:14.535012,desktop,session_33789,2025-02-23 08:26:14.535012
1000064,1000002,1000033,view,2025-02-23 08:28:14.535012,desktop,session_33789,2025-02-23 08:28:14.535012
1000065,1000002,1000011,cart_add,2025-02-23 08:30:14.535012,desktop,session_33789,2025-02-23 08:30:14.535012
1000066,1000002,1000049,view,2025-02-23 08:35:14.535012,desktop,session_33789,2025-02-23 08:35:14.535012
1000067,1000002,1000013,search,2025-02-18 11:37:14.535012,desktop,session_24007,2025-02-18 11:37:14.535012
1000068,1000002,1000039,view,2025-02-18 11:39:14.535012,desktop,session_24007,2025-02-18 11:39:14.535012
1000069,1000002,1000042,view,2025-02-18 11:40:14.535012,desktop,session_24007,2025-02-18 11:40:14.535012
1000070,1000002,1000039,cart_add,2025-02-18 11:41:14.535012,desktop,session_24007,2025-02-18 11:41:14.535012
1000071,1000002,1000039,view,2025-02-18 11:46:14.535012,desktop,session_24007,2025-02-18 11:46:14.535012
