order_item_id,order_id,product_id,quantity,unit_price,total_price,created_at
1000001,1000001,1000015,2,113.98,277.4,2025-02-15 14:16:10.130250
1000002,1000001,1000028,3,330.02,1204.78,2025-02-15 14:16:10.130250
1000003,1000002,1000024,1,270.19,241.12,2025-02-09 14:16:10.130250
1000004,1000002,1000004,3,130.65,349.77,2025-02-09 14:16:10.130250
1000005,1000002,1000028,1,317.74,283.54,2025-02-09 14:16:10.130250
1000006,1000003,1000013,1,104.03,67.52,2025-02-11 14:16:10.130250
1000007,1000003,1000003,5,127.15,412.61,2025-02-11 14:16:10.130250
1000008,1000004,1000038,2,131.63,170.86,2025-02-11 14:16:10.130250
1000009,1000004,1000050,2,636.7,826.45,2025-02-11 14:16:10.130250
1000010,1000005,1000042,2,498.7,1213.73,2025-02-15 14:16:10.130250
1000011,1000005,1000049,2,243.31,592.15,2025-02-15 14:16:10.130250
1000012,1000005,1000042,2,478.75,1165.17,2025-02-15 14:16:10.130250
1000013,1000005,1000039,6,171.55,1252.57,2025-02-15 14:16:10.130250
1000014,1000005,1000016,2,3329.16,8102.44,2025-02-15 14:16:10.130250
1000015,1000006,1000017,4,866.09,2529.45,2025-02-12 14:16:10.130250
1000016,1000007,1000043,2,407.89,529.45,2025-02-11 14:16:10.130250
1000017,1000007,1000032,3,524.04,1020.31,2025-02-11 14:16:10.130250
1000018,1000007,1000042,1,474.55,307.99,2025-02-11 14:16:10.130250
1000019,1000008,1000029,2,130.27,147.96,2025-02-10 14:16:10.130250
1000020,1000008,1000018,3,72.92,124.23,2025-02-10 14:16:10.130250
1000021,1000009,1000029,1,137.62,167.47,2025-02-08 14:16:10.130250
1000022,1000009,1000048,2,156.63,381.19,2025-02-08 14:16:10.130250
1000023,1000009,1000047,2,85.39,207.81,2025-02-08 14:16:10.130250
1000024,1000010,1000049,5,254.93,1137.49,2025-02-16 14:16:10.130250
1000025,1000010,1000003,2,111.22,198.5,2025-02-16 14:16:10.130250
1000026,1000010,1000007,2,148.28,264.65,2025-02-16 14:16:10.130250
1000027,1000011,1000022,2,803.69,1434.4,2025-02-09 14:16:10.130250
1000028,1000011,1000016,4,2969.69,10600.44,2025-02-09 14:16:10.130250
1000029,1000011,1000041,3,62.27,166.7,2025-02-09 14:16:10.130250
1000030,1000011,1000044,1,1162.43,1037.34,2025-02-09 14:16:10.130250
1000031,1000011,1000041,1,61.52,54.9,2025-02-09 14:16:10.130250
1000032,1000011,1000007,3,151.77,406.32,2025-02-09 14:16:10.130250
1000033,1000012,1000048,1,182.97,148.44,2025-02-06 14:16:10.130250
1000034,1000012,1000004,3,128.2,312.01,2025-02-06 14:16:10.130250
1000035,1000013,1000014,3,880.89,2787.05,2025-02-07 14:16:10.130250
1000036,1000013,1000040,1,38.31,40.41,2025-02-07 14:16:10.130250
1000037,1000013,1000004,3,138.25,437.4,2025-02-07 14:16:10.130250
1000038,1000013,1000011,4,100.92,425.73,2025-02-07 14:16:10.130250
1000039,1000014,1000009,1,118.91,86.82,2025-02-12 14:16:10.130250
1000040,1000014,1000028,1,343.08,250.49,2025-02-12 14:16:10.130250
1000041,1000014,1000006,2,9.48,13.84,2025-02-12 14:16:10.130250
1000042,1000014,1000029,4,139.24,406.66,2025-02-12 14:16:10.130250
1000043,1000015,1000011,1,100.61,89.78,2025-02-09 14:16:10.130250
1000044,1000015,1000016,2,3016.13,5383.11,2025-02-09 14:16:10.130250
1000045,1000016,1000012,2,153.8,274.5,2025-02-16 14:16:10.130250
1000046,1000016,1000010,1,1218.84,1087.67,2025-02-16 14:16:10.130250
1000047,1000017,1000026,2,1606.04,3387.58,2025-02-14 14:16:10.130250
1000048,1000017,1000044,1,1036.51,1093.14,2025-02-14 14:16:10.130250
1000049,1000017,1000016,1,3341.25,3523.81,2025-02-14 14:16:10.130250
1000050,1000017,1000026,2,1637.75,3454.46,2025-02-14 14:16:10.130250
