review_id,product_id,order_id,customer_id,review_score,review_text,review_date,helpful_votes,verified_purchase,created_at
1000001,1000024,1000002,1000001,5,"Perfect fit. Guzman, Hoffman and Baldwin  Hiking Boots Pro was very good",2025-02-15 12:58:17.736941,3,True,2025-02-15 12:58:17.736941
1000002,1000004,1000002,1000001,3,Fair price. Davis and Sons Premium Running Fitness Tracker was decent. Average quality. Looking forward to using it more.,2025-02-17 12:58:17.736941,0,True,2025-02-17 12:58:17.736941
1000003,1000028,1000002,1000001,4,"Outstanding performance. Henderson, Ramirez and Lewis Elite Rustic Shelf is fantastic",2025-02-15 12:58:17.736941,1,True,2025-02-15 12:58:17.736941
1000004,1000022,1000011,1000003,2,Frustrating experience. Blake and Sons  Minimalist Blender was disappointing,2025-02-18 12:58:17.736941,0,True,2025-02-18 12:58:17.736941
1000005,1000016,1000011,1000003,5,"Perfect fit. Rodriguez, Figueroa and Sanchez Pro Ultra Notebook is very good. Highly recommend. Hope this helps other buyers.",2025-02-14 12:58:17.736941,0,True,2025-02-14 12:58:17.736941
1000006,1000041,1000011,1000003,1,Waste of money. Williams and Sons Elite Nourishing Cleanser is not good,2025-02-14 12:58:17.736941,6,True,2025-02-14 12:58:17.736941
1000007,1000044,1000011,1000003,3,Average quality. James Group Elite Drawing Tablet (Ultra) is okay. Standard product. Looking forward to using it more.,2025-02-18 12:58:17.736941,0,True,2025-02-18 12:58:17.736941
1000008,1000041,1000011,1000003,5,Great quality. Williams and Sons Elite Nourishing Cleanser was great. Outstanding performance. Would definitely buy again.,2025-02-14 12:58:17.736941,1,True,2025-02-14 12:58:17.736941
1000009,1000007,1000011,1000003,4,Very satisfied. Davis and Sons Premium Silk Bag is very good,2025-02-16 12:58:17.736941,0,True,2025-02-16 12:58:17.736941
1000010,1000020,1000018,1000004,5,"Great quality. Guzman, Hoffman and Baldwin  Pan Metal was very good",2025-02-10 12:58:17.736941,1,True,2025-02-10 12:58:17.736941
1000011,1000037,1000018,1000004,5,Outstanding performance. Arnold Ltd Elite Shelf Designer is fantastic,2025-02-12 12:58:17.736941,3,True,2025-02-12 12:58:17.736941
1000012,1000020,1000018,1000004,5,"Outstanding performance. Guzman, Hoffman and Baldwin  Pan Metal was great. Very satisfied. Might consider other options next time.",2025-02-10 12:58:17.736941,2,True,2025-02-10 12:58:17.736941
1000013,1000012,1000018,1000004,4,Outstanding performance. Davis and Sons Premium Wallet in Navy is great,2025-02-12 12:58:17.736941,2,True,2025-02-12 12:58:17.736941
1000014,1000033,1000018,1000004,5,"Great quality. Mcclain, Miller and Henderson Pro Sport Sneakers is excellent. Excellent product. Not sure if I would buy again.",2025-02-11 12:58:17.736941,1,True,2025-02-11 12:58:17.736941
1000015,1000042,1000026,1000007,5,Exceeded expectations. Galloway-Wyatt Premium Max Notebook was very good. Highly recommend. Might consider other options next time.,2025-02-02 12:58:17.736941,3,True,2025-02-02 12:58:17.736941
1000016,1000017,1000026,1000007,4,"Exceeded expectations. Mcclain, Miller and Henderson Pro Mini Tablet (Premium) is fantastic. Excellent product. Hope this helps other buyers.",2025-02-02 12:58:17.736941,0,True,2025-02-02 12:58:17.736941
1000017,1000047,1000026,1000007,5,"Amazing value. Guzman, Hoffman and Baldwin  Hair Mask with Collagen was excellent. Outstanding performance. Would definitely buy again.",2025-02-01 12:58:17.736941,2,True,2025-02-01 12:58:17.736941
1000018,1000008,1000027,1000007,2,Didn't meet expectations. Doyle Ltd Elite Bike Professional was poor,2025-02-10 12:58:17.736941,0,True,2025-02-10 12:58:17.736941
1000019,1000008,1000027,1000007,2,Stopped working. Doyle Ltd Elite Bike Professional was disappointing,2025-02-09 12:58:17.736941,1,True,2025-02-09 12:58:17.736941
1000020,1000040,1000027,1000007,4,Exceeded expectations. Dudley Group Elite Training Leggings was great,2025-02-09 12:58:17.736941,2,True,2025-02-09 12:58:17.736941
1000021,1000008,1000027,1000007,4,Exceeded expectations. Doyle Ltd Elite Bike Professional is great,2025-02-07 12:58:17.736941,0,True,2025-02-07 12:58:17.736941
1000022,1000044,1000028,1000007,4,Excellent product. James Group Elite Drawing Tablet (Ultra) is fantastic. Very satisfied. Would definitely buy again.,2025-02-02 12:58:17.736941,0,True,2025-02-02 12:58:17.736941
1000023,1000022,1000030,1000008,5,Perfect fit. Blake and Sons  Minimalist Blender was very good. Excellent product. Might consider other options next time.,2025-01-30 12:58:17.736941,6,True,2025-01-30 12:58:17.736941
1000024,1000014,1000030,1000008,5,"Outstanding performance. Mcclain, Miller and Henderson Pro Minimalist Shelf was excellent. Highly recommend. Looking forward to using it more.",2025-01-28 12:58:17.736941,2,True,2025-01-28 12:58:17.736941
1000025,1000032,1000030,1000008,3,Average quality. Abbott-Munoz Premium Pot Set Ceramic is average,2025-01-28 12:58:17.736941,0,True,2025-01-28 12:58:17.736941
1000026,1000038,1000031,1000008,4,"Excellent product. Mcclure, Ward and Lee Elite Pot Set Cotton was fantastic",2025-01-30 12:58:17.736941,2,True,2025-01-30 12:58:17.736941
1000027,1000010,1000031,1000008,4,"Perfect fit. Guzman, Hoffman and Baldwin  Blanket Bamboo was great. Amazing value. Not sure if I would buy again.",2025-01-28 12:58:17.736941,0,True,2025-01-28 12:58:17.736941
1000028,1000040,1000031,1000008,3,Fair price. Dudley Group Elite Training Leggings is decent,2025-01-28 12:58:17.736941,0,True,2025-01-28 12:58:17.736941
1000029,1000028,1000037,1000010,4,"Amazing value. Henderson, Ramirez and Lewis Elite Rustic Shelf is very good",2025-02-12 12:58:17.736941,1,True,2025-02-12 12:58:17.736941
1000030,1000025,1000037,1000010,5,"Perfect fit. Mcclain, Miller and Henderson Pro Moisturizer Professional was fantastic. Fantastic purchase. Would definitely buy again.",2025-02-13 12:58:17.736941,0,True,2025-02-13 12:58:17.736941
