ORDER_ITEM_ID,ORDER_ID,PRODUCT_ID,QUANTITY,UNIT_PRICE,TOTAL_PRICE,CREATED_AT,DATA_SOURCE,BATCH_ID,LOADED_AT
1,1,573,3,454.94,1364.82,2024-03-12 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11625,3861,778,3,722.64,2167.92,2024-08-26 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11660,3871,445,1,396.73,396.73,2024-09-23 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11661,3871,342,1,668.11,668.11,2024-09-23 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11644,3866,587,3,369.78,1109.34,2024-11-15 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11643,3865,486,2,849.88,1699.76,2024-10-07 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11642,3865,32,3,265.83,797.49,2024-10-07 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11641,3865,377,2,13.26,26.52,2024-10-07 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11623,3861,63,2,602.41,1204.82,2024-08-26 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11624,3861,564,1,782.35,782.35,2024-08-26 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11671,3874,853,1,30.62,30.62,2024-03-04 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11658,3870,304,1,18.65,18.65,2023-10-15 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11626,3862,272,3,554.28,1662.84,2024-06-18 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11628,3862,943,2,509.75,1019.5,2024-06-18 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11629,3862,607,1,495.37,495.37,2024-06-18 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11630,3862,233,1,662.91,662.91,2024-06-18 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11662,3872,777,3,833.28,2499.84,2023-08-28 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11631,3862,560,1,530.8,530.8,2024-06-18 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11633,3864,946,1,32.82,32.82,2024-09-13 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11634,3864,44,1,120.25,120.25,2024-09-13 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11659,3870,760,2,81.92,163.84,2023-10-15 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11657,3870,761,1,754.66,754.66,2023-10-15 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11636,3864,443,3,46.03,138.09,2024-09-13 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11684,3876,835,3,382.03,1146.09,2023-11-24 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11701,3881,977,3,44.74,134.22,2023-07-05 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11702,3882,385,3,173.58,520.74,2024-04-15 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11703,3882,880,3,48.35,145.05,2024-04-15 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11704,3883,291,2,346.49,692.98,2024-03-03 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11705,3883,422,1,879.77,879.77,2024-03-03 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11697,3880,504,2,517.69,1035.38,2023-12-30 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11622,3861,373,2,769.34,1538.68,2024-08-26 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11686,3876,781,1,257.79,257.79,2023-11-24 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11666,3873,217,3,755.06,2265.18,2023-10-08 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11656,3870,11,1,604.92,604.92,2023-10-15 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11667,3873,717,1,314.41,314.41,2023-10-08 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11668,3873,77,3,288.65,865.9499999999999,2023-10-08 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11669,3873,421,2,203.12,406.24,2023-10-08 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11670,3873,892,3,300.63,901.89,2023-10-08 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11665,3873,118,3,671.36,2014.08,2023-10-08 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11664,3872,509,3,476.82,1430.46,2023-08-28 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11663,3872,40,1,272.14,272.14,2023-08-28 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11632,3863,251,2,177.82,355.64,2024-03-29 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11635,3864,393,1,757.76,757.76,2024-09-13 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11637,3864,90,3,625.55,1876.65,2024-09-13 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11678,3875,307,2,318.29,636.58,2024-05-27 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11601,3854,720,2,636.21,1272.42,2024-09-22 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11550,3838,931,1,106.17,106.17,2024-05-25 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11551,3839,115,3,84.88,254.64,2024-05-12 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11552,3839,252,3,369.51,1108.53,2024-05-12 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11553,3839,493,3,266.57,799.71,2024-05-12 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11545,3837,446,1,214.61,214.61,2024-11-30 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11576,3847,476,1,381.24,381.24,2024-09-19 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11577,3847,210,3,396.93,1190.79,2024-09-19 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11578,3847,525,3,411.19,1233.57,2024-09-19 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11602,3855,635,3,626.35,1879.05,2024-03-09 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11547,3837,907,1,583.2,583.2,2024-11-30 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11603,3855,839,3,889.46,2668.38,2024-03-09 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11604,3855,345,1,93.34,93.34,2024-03-09 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11548,3837,200,3,344.29,1032.87,2024-11-30 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11655,3869,624,3,117.91,353.73,2023-08-04 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11557,3840,293,3,70.23,210.69,2024-07-12 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11573,3846,707,3,92.44,277.32,2024-10-11 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11674,3874,538,1,882.15,882.15,2024-03-04 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11676,3874,973,1,91.86,91.86,2024-03-04 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11549,3838,890,1,790.33,790.33,2024-05-25 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11556,3840,70,2,350.08,700.16,2024-07-12 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11638,3865,594,2,190.73,381.46,2024-10-07 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11536,3835,793,2,74.04,148.08,2024-10-24 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11639,3865,784,3,733.23,2199.69,2024-10-07 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11640,3865,49,3,217.77,653.3100000000001,2024-10-07 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11627,3862,430,2,725.58,1451.16,2024-06-18 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11672,3874,747,1,446.1,446.1,2024-03-04 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11673,3874,831,1,285.4,285.4,2024-03-04 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11685,3876,833,2,102.57,205.14,2023-11-24 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11555,3840,26,1,301.84,301.84,2024-07-12 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11554,3840,431,2,215.47,430.94,2024-07-12 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11537,3835,519,3,558.83,1676.4900000000002,2024-10-24 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11546,3837,870,1,454.99,454.99,2024-11-30 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11538,3835,92,3,249.33,747.99,2024-10-24 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11539,3836,603,2,87.27,174.54,2024-10-12 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11540,3836,428,1,91.15,91.15,2024-10-12 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11541,3836,996,2,819.46,1638.92,2024-10-12 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11542,3837,673,2,135.94,271.88,2024-11-30 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11543,3837,235,1,562.02,562.02,2024-11-30 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11575,3846,686,1,711.03,711.03,2024-10-11 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11544,3837,976,3,697.07,2091.21,2024-11-30 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11700,3881,31,1,651.63,651.63,2023-07-05 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11699,3880,433,1,216.74,216.74,2023-12-30 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11698,3880,582,1,205.5,205.5,2023-12-30 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13313,4415,940,2,336.22,672.44,2024-02-10 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13306,4413,343,1,740.68,740.68,2023-08-31 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13424,4445,448,1,48.22,48.22,2024-09-08 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13307,4413,879,1,426.55,426.55,2023-08-31 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13309,4414,341,2,438.43,876.86,2024-08-15 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13310,4414,736,3,85.76,257.28000000000003,2024-08-15 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13311,4414,316,2,484.21,968.42,2024-08-15 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13312,4415,12,1,562.44,562.44,2024-02-10 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13304,4412,930,3,401.15,1203.4499999999998,2023-05-17 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13315,4416,841,3,192.01,576.03,2024-10-27 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13367,4429,169,3,435.87,1307.61,2024-10-25 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13316,4416,846,1,504.39,504.39,2024-10-27 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13317,4416,693,1,659.05,659.05,2024-10-27 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13318,4416,977,2,44.74,89.48,2024-10-27 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13319,4417,237,1,139.32,139.32,2024-05-10 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13320,4417,157,1,870.24,870.24,2024-05-10 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13321,4418,547,2,84.78,169.56,2024-09-04 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13308,4414,99,1,150.22,150.22,2024-08-15 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13623,4510,172,1,114.34,114.34,2024-02-20 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13305,4413,606,3,579.6,1738.8000000000002,2023-08-31 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13368,4429,545,3,827.61,2482.83,2024-10-25 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11696,3880,771,2,26.24,52.48,2023-12-30 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13413,4441,205,2,59.12,118.24,2024-11-19 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13396,4436,851,2,160.42,320.84,2024-11-20 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13397,4436,849,1,449.64,449.64,2024-11-20 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13398,4437,456,1,754.39,754.39,2024-10-15 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13399,4437,73,1,887.5,887.5,2024-10-15 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13400,4437,725,2,419.71,839.42,2024-10-15 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13401,4437,683,3,203.28,609.84,2024-10-15 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13868,4597,729,1,815.15,815.15,2024-03-05 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13412,4441,31,3,651.63,1954.89,2024-11-19 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13436,4447,119,3,395.89,1187.67,2024-03-29 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13369,4429,93,2,505.59,1011.18,2024-10-25 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13425,4445,798,2,422.14,844.28,2024-09-08 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13426,4445,748,2,157.44,314.88,2024-09-08 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13427,4445,591,1,113.23,113.23,2024-09-08 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13428,4446,835,3,382.03,1146.09,2024-06-22 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13429,4446,655,1,202.59,202.59,2024-06-22 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13430,4446,752,1,177.54,177.54,2024-06-22 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13431,4446,266,3,418.59,1255.77,2024-06-22 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13423,4445,765,2,585.57,1171.14,2024-09-08 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13422,4445,196,3,512.67,1538.0099999999998,2024-09-08 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13421,4445,801,2,385.51,771.02,2024-09-08 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13437,4447,991,2,95.47,190.94,2024-03-29 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13626,4511,845,1,976.88,976.88,2024-04-11 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13416,4442,157,2,870.24,1740.48,2024-11-29 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13417,4443,642,3,516.33,1548.9900000000002,2024-10-16 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13418,4444,800,2,688.63,1377.26,2024-07-27 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13419,4444,923,1,612.51,612.51,2024-07-27 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13420,4444,310,3,208.59,625.77,2024-07-27 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13451,4452,282,3,261.68,785.04,2024-07-18 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13624,4511,729,3,815.15,2445.45,2024-04-11 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13625,4511,489,2,224.62,449.24,2024-04-11 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11688,3877,351,3,119.36,358.08,2023-03-09 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13438,4448,468,1,933.43,933.43,2024-07-07 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11689,3877,297,1,196.62,196.62,2023-03-09 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11690,3878,281,1,795.21,795.21,2023-02-19 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11691,3878,901,2,233.44,466.88,2023-02-19 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11692,3879,934,3,805.66,2416.98,2024-05-01 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11693,3879,743,2,501.62,1003.24,2024-05-01 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11694,3880,850,3,549.66,1648.98,2023-12-30 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11695,3880,440,1,362.71,362.71,2023-12-30 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
11687,3876,118,1,671.36,671.36,2023-11-24 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13415,4442,906,3,439.22,1317.66,2024-11-29 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13414,4442,423,3,513.38,1540.14,2024-11-29 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13432,4446,342,1,668.11,668.11,2024-06-22 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13434,4447,170,2,600.4,1200.8,2024-03-29 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13439,4448,49,2,217.77,435.54,2024-07-07 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13440,4449,139,3,95.14,285.42,2024-09-22 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13441,4449,37,2,32.72,65.44,2024-09-22 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
13442,4449,218,3,105.2,315.6,2024-09-22 00:00:00,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
