PRODUCT_ID,CATEGORY_ID,SUBCATEGORY_ID,PRODUCT_NAME,DESCRIPTION,BASE_PRICE,SALE_PRICE,STOCK_QUANTITY,WEIGHT_KG,IS_ACTIVE,CREATED_AT,BRAND,SKU,RATING,REVIEW_COUNT,DATA_SOURCE,BATCH_ID,LOADED_AT
1,1,101,Bailey-Powers Until,"Media science whatever adult audience evening pretty. Popular break those those bit. Security debate we trouble bad.
Staff environmental none.",744.13,631.75,142,14.76,True,2023-01-29T00:00:00.000,Nguyen LLC,SKU-81482,3.2,449,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
986,3,305,Jackson PLC Ready,"Southern daughter remember begin son security. Rock agree work.
Live everybody thank dream center white. College of accept future whether.",819.39,798.97,277,18.33,True,2024-12-19T14:56:47.952,"Terry, Williams and Murray",SKU-44786,4.6,97,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
999,2,204,Sparks Group Energy,Would manage look our. Short power play wife. End budget better improve author current.,622.85,547.15,842,14.95,True,2024-12-23T14:56:47.952,Villarreal LLC,SKU-20119,4.6,63,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
998,5,505,Mccormick Group Clear,Debate best crime discussion past speak thought. Easy behavior investment once floor study. Support argue nothing agree.,312.97,276.9,160,5.51,False,2024-12-23T14:56:47.952,Bradley PLC,SKU-59487,5.0,19,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
997,1,105,Rose-Nichols Health,National trial vote way task wide watch charge. Social something moment within suffer whole condition. Sign draw reason for. Little final health.,753.62,627.07,405,16.67,True,2024-12-14T14:56:47.952,Welch PLC,SKU-69545,4.1,38,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
996,5,503,Coleman Ltd Perform,"Ten during very own. Together once eat at century gun thank.
Society tax would table cup provide prepare. Morning skin use space treat. Hotel toward us college and election.",475.48,412.47,800,12.93,False,2024-12-07T14:56:47.952,Rodriguez Group,SKU-24583,3.3,89,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
995,2,201,"George, Cook and Fox Tax","Sport table skill center parent guy truth. With significant would arm left produce state record.
Piece president end event buy Congress white try. Shoulder maybe side lead time. Big yourself create.",252.6,230.83,833,8.39,True,2024-12-30T14:56:47.952,Moses-Stein,SKU-71573,4.5,101,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
994,4,403,Guerrero and Sons Writer,"Success star the against season son product available. Truth seat collection end upon two vote.
Bad friend offer table. Air without scene pick mind think. Its participant answer boy.",63.54,59.26,75,9.59,True,2024-12-27T14:56:47.952,Mullins Inc,SKU-30732,3.1,55,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
993,4,402,"Taylor, Norton and Schwartz Reach","May eat enough research assume project ahead international. Society different treat serve.
Sit only special reality ball. Way entire town few.",218.63,177.35,141,2.43,True,2024-12-23T14:56:47.952,"Dodson, Hall and Burns",SKU-28753,3.8,11,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
992,1,101,Soto-Donaldson Pass,"But expert adult not she sing.
Mind trial development power team be fear. Business century local would.
Me necessary necessary today hard the. Respond store hit present.",912.25,884.65,887,15.6,True,2024-12-19T14:56:47.952,Taylor-Cohen,SKU-70344,3.3,78,historic,3234d584-18c4-420b-b7f3-80d4a18b4701,2024-12-30 17:05:43
